"","Rating","Text"
"87",3,"  Tomb Raider is one of the best video games movies to date. However, this is not saying too much as the translation from the console to the big screen has been subpar in general. Despite the poor reputation of video game movies coming into Tomb Raider, it holds its own as an enjoyable action thriller. The movie features a lot of elements from the 2013 reboot of the game, but differs with the story. Alicia Vikander is good as Lara Croft and holds true to the version portrayed in the 2013 reboot. Her backstory is a little different, as she chooses not to attend university and lives a quiet life in London, but this benefits Lara's character. We get to see her struggle in these early stages, and she builds and grows as a character when facing difficult situations throughout her journey. After getting arrested, she is bailed out by one of her father's business partners Ana Miller, where Lara receives her father's inheritance. This leads to clues and an adventure to the island of Yamatai in the Devil's Sea. Lara is accompanied by a ship captain named Lu Ren, who is a decent character, but does not receive the screen time to overcome his one dimensional presence. The story on the island is a little underwhelming and the pace moves very fast until the tomb is opened. This is where some of the sequences from the video game are featured however, and the best action scenes take place. The villain Mathias is very underused in the film. There are a few scenes where his intimidating and reckless presence are felt, but there is not enough of them to fully understand or care about Mathias. The story of the curse of the island stems away from the video game version, but still works. The Third Act is also very action packed, and tests Lara as a character, which builds on her arc from the First Act. The visuals of the movie are stunning, as the action sequences are very realistic and the camera angles add to the intensity and stakes of these. It can be a little unrealistic in the aftermath of some of these sequences, as Lara survives a lot and has very little physical injury. Overall, Tomb Raider is a step forward in the right direction for video games movies. Alicia Vikander provides a good interpretation as Lara Croft, providing great acting performance and her arc sees her grow as a character throughout the film. The story is a little underwhelming and differs from the source material in many ways, but the action and Lara's strong character make up for most of these flaws. The most important aspect of the Tomb Raider reboot is that the character of Lara is well cast and proves a strong and likeable character. This will bode well for potential sequels, as the plot can always be improved."
"88",1.5,"  Boring! Dialogue incoherent"
"89",4,"  Normally video game adaptation movies tend to flop due to its weak plot and poor execution on the tone, but 2018's Tomb Raider does not belong to that category as it exceeds my expectation. First off, Alicia Vikander is almost the perfect casting choice for Lara Croft as she is really a great actress and does have the looks and body shape for the character in 2013's Tomb Raider, the other casts such as Dominic West and Daniel Wu also did a good job on portraying their respective roles. It started off showing Lara Croft's life before she goes to her adventure with a fun tone and surprisingly realistic scenes. When Lara Croft arrived to the mysterious island, it has lots of cool action scenes with good CGI and fighting choreography that will make you get on the edge of your seat. This movie is not perfect by all means, its plot isn't something groundbreaking or original, and although Walton Goggins did provide a menacing antagonist, it does not have any backstory or character development to allow us to sympathize with his motives and intentions, they should've added a flashback with Lara Croft's father to let us know more about the character. Also, the pacing of the movie is a bit too fast as they tend to skip through the decisions of some of the characters without explaining too much. Overall, this movie is a lot of better than the two Tomb Raider movies by Angelina Jolie, and also provided a good origin movie if it does well enough to have a sequel for this franchise."
"90",5,"  A decent plot, great CGI, action scenes are good and well executed. Not Perfect But Still Well Done. With that said, this is entertaining and a really fun movie to watch.Alicia Vikander carried the role beautifully"
"91",2.5,"  While there's certainly some fun to be had, an inactive and uninteresting protagonist where there should be one empowered and exciting brings an already bland story tumbling down."
"92",5,"  Loved the movie and reboot. Shows Lara from the very beginning. Loved her look and that the shorts were ditched."
"93",3.5,"  Video game movies, for the most part, just completely fail, or at least are entertaining enough where it doesn't matter if they're bad (looking at you, RESIDENT EVIL series). This one didn't. I was satisfied with WARCRAFT and CASTELVANIA anime, and thought they were good enough to set a standard. This one went above the standard. And don't worry if the end is predictable; we've played the video games to know how it starts, and what are the environs. If Vikander wants or is willing to do another, that's fine with me."
"94",4,"  Nice, escapist fun. Similar in tone to the last two games."
"95",3,"  Like I said before, to cute for Lara."
"96",5,"  Loved it. I really enjoyed that the main character was a strong women because people usually believe that men are the ones who are strong. It was a very good movie"
"97",4,"  I really enjoyed this new Tomb Raider. I think everyone should give it a chance! I don't see how its so much different than the cheesy ones with Angelina Jolie....except Vikander looks more human! My only slightly complaint is that they altered the video game plotline. Himiko was different in the video game. However, this is a good start to a new type of Tomb Raider. I really want to see another! PLEASE MAKE ANOTHER!"
"98",2.5,"  Well, I had awaited this flick with quite some anticipation, and while Alicia makes for quite a good representation of the young Lara, something just didn't come across as it should have. I felt the supporting cast was simply too cheap (B-movie actors) to have her face a worthwhile opponent. All in all it is watchable but it won't get you too excited. And I even watched it in a 4DX cinema. In a normal cinema one might feel a bit of drag. 5/10 points. One can, if one owns a big screen, easily wait for it to come out on Blue Ray or cable TV."
"99",3.5,"  There are some really good elements here - great performances and plenty of exciting action. Unfortunately, the story is so listless is barely gives anyone anything interesting to do."
"100",4,"  Really enjoyed it. REALLY liked how they did the ""stop motion"" or ""stop scene"" focus parts where they show how LC acquired her signature tools that are sooooo much a part of the recent game. Loved it."
"101",4,"  Excellent action flick. Vikander is great in the role. So glad to see another powerful woman role without making use of a romantic subplot."
"102",5,"  Fab movie better than the original"
"103",0.5,"  Very weak reboot that no one wanted"
"104",4,"  Yoooooooooo this movie had some bad ass moments that were fucking brutal. It may not be the greatest movie but it's worth a watch for sure."
"105",2.5,"  It was a meh kinda movie"
"106",3,"  The visuals in this film are amazing. A lot of scenes look like they have been taken straight out of the games, most notably the plane scene. Has a fantastic performance by Alicia Vikander and she really tries with the terrible script she was given. The other performances are mediocre at best. Overall, it was fine. 6/10"
"107",0.5,"  OMG all I could think as I watch this film was ffs your Laura Croft show them that . and what about the dad thing ffs"
"108",3.5,"  Good solid story and reboot of the franchise. Entertaining and I liked the fact that the character was not overly sexualised."
"109",3,"  This is the ""exact tomb raider"" as we wanted to see. Alicia was really good on her character but still a complete bland plot was quite marred the whole movie. The whole action of the movie was quite similar to the game and the look of it as well. But undoubtedly this is the best tomb raider of three but still so many shortage to build a game originated movie.. yet again...hope the 2nd one (if there is any) will do better story..."
"110",4,"  Everyone is forgetting that this is a movie based on a video game! I have very low standards or expectations for a movie based on a game. However, this was very well done. I loved it and will probably see it again. It made me want to play the games again."
