"","Rating","Text"
"125",3,"  I don't really like bulls that are gentle, melancholy, and nonchalant. He's fat, too, and probably not a strong animal. The horses played by Germans and the skinny, prestigious, strict, fancy, little bull seeker El Primero made the show worth something, to me."
"126",4,"  Great Movie. Very enjoyable. Walked away with a huge smile on my face"
"127",5,"  This is a great movie based on a book from the 1930's. The kids liked it."
"128",3,"  Great animation one of the best I?ve seen looked like puppets at times, good meaning in story and trying to go against meat.Some characters like the goat and hedgehogs was very weak and brought this movie down"
"129",5,"  watch ferdinand guysss its so good for children and adults"
"130",3,"  not sure why the user score is so low, it was pretty good. John Cena was a miscast."
"131",5,"  I loved Ferdinand, a story about swimming against the current and refusing to be forced into behaving against his values.I am sure the meat industry will try to out this movie but it speaks volumes of truth, love and inner strength!!This movie is done with a lot of humor and cleverness!!"
"132",2,"  it was ok, started out good and had its share of funny moments but ultimately turned into a lib-tard shit show pushing liberal agenda."
"133",0.5,"  Really is not the film that will make you reflect, the environments aren't so realistic like other animated films and is a basic and boring story"
"134",2,"  I remember reading ""The Story of Ferdinand"" when I was a kid and enjoying it. Me remembering the story which is the basis for this movie (And also having a free pass and a coupon for a free popcorn.) motivated me to see this movie. While it is tough to expand a short children's book into a full length movie, I found myself not all that impressed with this movie. It is not terrible by any means, but it is just dull, formulaic and for the most part forgettable. The whole scene of Ferdinand and the bulls escaping in the trailer was recycled right out of ""Finding Dory"". There were also come comedic moments that were just as unoriginal. There are a few laughs here and there, but overall ""Ferdinand"" is just another by the numbers animated film. Unlike Pixar's ""Coco"" there is nothing here that makes this movie unique."
"135",3,"  Ferdinand was a decent movie, 2017 hasn't been a good year for animated movies, some movies were great like Cars 3, the Lego Batman movie etc, but there have been some bad ones like the Star and the Emoji Movie, but there were some movies that were just decent, and Ferdinand is one of those movies. Created by the same people who worked on movies like Ice Age, Rio and the 2015 Peanuts Charlie Brown movie being the studio Blue Sky, Ferdinand is what I consider one of their more mature movies seeing as it isn't another Ice Age sequel, although it isn't as mature as the Peanuts movie, but I would say this movie is more mature than any of Blue Sky's other movies.This movie has a decent story but it can be predictable at times, the cast is pretty good, the characters are somewhat likable, the music is pretty good, the animation is great, but unfortunately none of the jokes were funny.I'd say this movie falls under the category of it had good potential but it didn't live up to what it should've been, would I recommend this? Well, yes and no, it really depends on if you're interested in watching it, if you are than I'd say give it at least one viewing to make up your mind, but if you're not than it's okay to skip this one.I give Ferdinand a 6 out of 10 it could've been great, but it fell flat on its face."
"136",0.5,"  A lot of things felt off, didn't have the same magic as the book"
"137",5,"  Sweet movie with a great love versus hate (or war versus peace) message as well as loyalty/friendship message."
"138",2,"  Cute but very much a child's movie, as in nothing that would interest an adult"
"139",5,"  deffo worth watching for everyone"
"140",4.5,"  Absolutely lovely. A great story that stays true to the message of the book. So many classics have been made into mediocre movies, but this one really stood up. I'm amazed the audience score is so low. I highly recommend this movie for children of all ages."
"141",5,"  as good as coco watch it with kids"
"142",5,"  Loved it! Haven't laughed so hard in a long time. Also made me want to visit Spain."
"143",1.5,"  Blue Sky Animation is the home of the truly mediocre in modern animation. The house that the awful Ice Age movies built is back again and apparently attempting to hide their latest bit of sub-par animation by opening Ferdinand opposite Star Wars: The Last Jedi. Smart move, Blue Sky. Burying Ferdinand is definitely the right call. No, the movie isn't terrible, it's just mediocre. And in a world where Pixar still rules, it's not a bad idea to drop your more modestly ambitious products where few audiences will see it. https://geeks.media/movie-review-ferdinand?_ga=2.260866509.1126457623.1513947710-953607229.1513947710"
"144",0.5,"  Ferdinand was a waste of time. The only moment of it I enjoyed was the bull/goat/horse dance battle. It is unrealistic and too intense for younger kids. Not intense enough for PG13, but too intense for regular PG. I recommend finding another movie to watch. Ferdinand is too much."
"145",3.5,"  Cute for a kids movie, would recommend for families."
"146",3.5,"  MASSIVE IMPROVEMENT Over The Godawful Ice Age: Collision CourseI'm Proud Of You Blue Sky! :)"
"147",3,"  This movie is cheesy, but fun. It is a kids movie primarily and it shows. Decent film overall, the mannerisms of the animals is captured well by the animators. Perfect for a fun casual family movie that has it's moments."
"148",4,"  Saw it tonight with our young daughters (6 and 10) and we all thought it was super cute!! Two thumbs up I felt compelled to leave a review because it's usually the critics who get it wrong, but this time it's the audience rating here which is very low and I disagree with it. Some of the negative reviews seemed somewhat suspect, so I chose to ignore them and glad we did. Also, this is a good kid movie for kids of all ages and for that reason, it trumps Coco (which I really liked but it was somewhat scary to my 6 yr old). Enjoy the movie!"
"149",5,"  great film for kids better than coco"
"150",4.5,"  Clash of the titanic bulls overcome by gentle kindness. A tale of adventure and hilarity... especially the equine dancefight."
